Mask	Appears in ranked list	The Movie List: the first 9200	.
Mask	Art direction by	Norman Newberry	.
Mask	Casting director	Jackie Burch	.
Mask	Casting director	Michael Chinich	.
Mask	Cinematography	László Kovács	.
Mask	Country of origin	United States of America	.
Mask	Directed by	Peter Bogdanovich	.
Mask	Distributor	Universal Studios	.
Mask	Edited by	Barbara Ford (Film Editor)	.
Mask	Film festival	1985 Cannes Film Festival	.
Mask	Genre	Biographical film	.
Mask	Genre	Drama (Film genre) #99	.
Mask	Initial release date	"1985-03-08"^^<http://www.w3.org/2001/XMLSchema#date>	.
Mask	Language	English Language	.
Mask	Music by	Dennis Ricotta	.
Mask	Netflix Genre	Biographical Dramas	.
Mask	Netflix Genre	Biography	.
Mask	Netflix Genre	Drama (Film genre) #99	.
Mask	Netflix Genre	Drama (m/0gw5m87)	.
Mask	Netflix Genre	Tearjerkers (Film genre)	.
Mask	Netflix ID	"60029388"	.
Mask	Produced by	Martin Starger	.
Mask	Rated	PG-13 (USA)	.
Mask	Release date(s)	"1985-03-08"^^<http://www.w3.org/2001/XMLSchema#date>	.
Mask	Release date(s)	"1998-08-12"^^<http://www.w3.org/2001/XMLSchema#date>	.
Mask	Release date(s)	"2000-10-10"^^<http://www.w3.org/2001/XMLSchema#date>	.
Mask	Rotten Tomato ID	"1013472-mask"	.
Mask	Runtime	"120.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask	Runtime	"127.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask	Screenplay by	Anna Hamilton Phelan	.
Mask	Set Decoration by	Richard J. DeCinces	.
Mask	Subject	Roy L. Dennis	.
Mask	Title ID	"tt0089560"	.
Mask	is-a	Award-Nominated Work	.
Mask	is-a	Award-Winning Work	.
Mask	is-a	Film	.
Mask	is-a	Netflix Title	.
Mask	is-a	Ranked item	.
Mask	is-a	Topic	.
Mask (Artwork) #40	Artist	Sargent Claude Johnson	.
Mask (Artwork) #40	Date Begun	"1933"^^<http://www.w3.org/2001/XMLSchema#gYear>	.
Mask (Artwork) #40	Medium	Copper	.
Mask (Artwork) #40	is-a	Artwork	.
Mask (Artwork) #40	is-a	Topic	.
Mask (Artwork) #91	Artist	Frank Hodgkinson	.
Mask (Artwork) #91	is-a	Artwork	.
Mask (Artwork) #91	is-a	Topic	.
Mask (Book) #13	Author	David Griffiths (Author) #3	.
Mask (Book) #13	is-a	Book	.
Mask (Book) #13	is-a	Topic	.
Mask (Book) #13	is-a	Written Work	.
Mask (Book) #139	Author	Julie Omoifo Okoh	.
Mask (Book) #139	is-a	Book	.
Mask (Book) #139	is-a	Topic	.
Mask (Book) #139	is-a	Written Work	.
Mask (Canonical Version) #10	ISRC	"GBCEJ1100257"	.
Mask (Canonical Version) #10	Length	"306.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #10	Recorded by	Pop Will Eat Itself	.
Mask (Canonical Version) #10	is-a	Canonical Version	.
Mask (Canonical Version) #10	is-a	Cataloged instance	.
Mask (Canonical Version) #10	is-a	Musical Recording	.
Mask (Canonical Version) #10	is-a	Topic	.
Mask (Canonical Version) #105	Recorded by	Phinx	.
Mask (Canonical Version) #105	is-a	Canonical Version	.
Mask (Canonical Version) #105	is-a	Musical Recording	.
Mask (Canonical Version) #105	is-a	Topic	.
Mask (Canonical Version) #106	Length	"335.534"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #106	Recorded by	Onuma Yosuke	.
Mask (Canonical Version) #106	is-a	Canonical Version	.
Mask (Canonical Version) #106	is-a	Musical Recording	.
Mask (Canonical Version) #106	is-a	Topic	.
Mask (Canonical Version) #107	Length	"512.346"^^<http://www.w3.org/2001/XMLSchema#float>	.
