Tattoo	Disease with this Risk Factor	Hepatitis B	.
Tattoo	TV program	Inked	.
Tattoo	is-a	Exhibition subject	.
Tattoo	is-a	Film subject	.
Tattoo	is-a	Literature Subject	.
Tattoo	is-a	Periodical Subject	.
Tattoo	is-a	Risk Factor	.
Tattoo	is-a	TV subject	.
Tattoo	is-a	Topic	.
Tattoo	is-a	Visual Art Form	.
Tattoo (Blues-rock Album)	Album content type	Studio album	.
Tattoo (Blues-rock Album)	Artist	Rory Gallagher	.
Tattoo (Blues-rock Album)	Genre	Blues-rock	.
Tattoo (Blues-rock Album)	Genre	Rock music	.
Tattoo (Blues-rock Album)	Initial release date	"1973-11-11"^^<http://www.w3.org/2001/XMLSchema#date>	.
Tattoo (Blues-rock Album)	Primary release	Tattoo (Musical Release) #138	.
Tattoo (Blues-rock Album)	Release type	Album	.
Tattoo (Blues-rock Album)	is-a	Musical Album	.
Tattoo (Blues-rock Album)	is-a	Topic	.
Tattoo (Canonical Version) #10	Length	"284.695"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #10	Recorded by	Van Halen	.
Tattoo (Canonical Version) #10	Recording of Composition	Tattoo (Composition) #48	.
Tattoo (Canonical Version) #10	is-a	Musical Recording	.
Tattoo (Canonical Version) #10	is-a	Topic	.
Tattoo (Canonical Version) #100	Length	"478.786"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #100	Recorded by	m/0nhvtrc	.
Tattoo (Canonical Version) #100	is-a	Canonical Version	.
Tattoo (Canonical Version) #100	is-a	Musical Recording	.
Tattoo (Canonical Version) #100	is-a	Topic	.
Tattoo (Canonical Version) #104	Length	"123.4"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #104	Recorded by	Link Wray	.
Tattoo (Canonical Version) #104	is-a	Canonical Version	.
Tattoo (Canonical Version) #104	is-a	Musical Recording	.
Tattoo (Canonical Version) #104	is-a	Topic	.
Tattoo (Canonical Version) #108	Length	"135.226"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #108	Recorded by	Deltaforce 23	.
Tattoo (Canonical Version) #108	Release	S (Musical Release) #2	.
Tattoo (Canonical Version) #108	is-a	Canonical Version	.
Tattoo (Canonical Version) #108	is-a	Musical Recording	.
Tattoo (Canonical Version) #108	is-a	Topic	.
Tattoo (Canonical Version) #111	Length	"124.6"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #111	Recorded by	Allen Levi	.
Tattoo (Canonical Version) #111	Release	Love Looking Down (Musical Release)	.
Tattoo (Canonical Version) #111	is-a	Canonical Version	.
Tattoo (Canonical Version) #111	is-a	Musical Recording	.
Tattoo (Canonical Version) #111	is-a	Topic	.
Tattoo (Canonical Version) #114	Length	"230.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #114	Recorded by	Jaune Toujours	.
Tattoo (Canonical Version) #114	is-a	Canonical Version	.
Tattoo (Canonical Version) #114	is-a	Musical Recording	.
Tattoo (Canonical Version) #114	is-a	Topic	.
Tattoo (Canonical Version) #121	Recorded by	m/0frhnx_	.
Tattoo (Canonical Version) #121	is-a	Canonical Version	.
Tattoo (Canonical Version) #121	is-a	Musical Recording	.
Tattoo (Canonical Version) #121	is-a	Topic	.
Tattoo (Canonical Version) #123	Length	"17.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #123	Recorded by	Gilbert Gottfried	.
Tattoo (Canonical Version) #123	Release	Dirty Jokes (Compact Disc Musical Release)	.
Tattoo (Canonical Version) #123	is-a	Canonical Version	.
Tattoo (Canonical Version) #123	is-a	Musical Recording	.
Tattoo (Canonical Version) #123	is-a	Topic	.
Tattoo (Canonical Version) #124	Length	"267.773"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #124	Recorded by	Pete Townshend	.
Tattoo (Canonical Version) #124	Release	Live: La Jolla Playhouse 23/06/01 (Musical Release)	.
Tattoo (Canonical Version) #124	is-a	Canonical Version	.
Tattoo (Canonical Version) #124	is-a	Musical Recording	.
Tattoo (Canonical Version) #124	is-a	Topic	.
Tattoo (Canonical Version) #125	Length	"192.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #125	Recorded by	Taio Cruz	.
Tattoo (Canonical Version) #125	is-a	Canonical Version	.
Tattoo (Canonical Version) #125	is-a	Musical Recording	.
Tattoo (Canonical Version) #125	is-a	Topic	.
Tattoo (Canonical Version) #13	Length	"276.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #13	Recorded by	Beatmapper	.
Tattoo (Canonical Version) #13	is-a	Canonical Version	.
Tattoo (Canonical Version) #13	is-a	Musical Recording	.
Tattoo (Canonical Version) #13	is-a	Topic	.
Tattoo (Canonical Version) #135	Length	"239.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #135	Recorded by	m/0nhy8z9	.
Tattoo (Canonical Version) #135	is-a	Canonical Version	.
Tattoo (Canonical Version) #135	is-a	Musical Recording	.
Tattoo (Canonical Version) #135	is-a	Topic	.
Tattoo (Canonical Version) #136	Length	"207.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #136	Recorded by	Jepp	.
Tattoo (Canonical Version) #136	is-a	Canonical Version	.
Tattoo (Canonical Version) #136	is-a	Musical Recording	.
Tattoo (Canonical Version) #136	is-a	Topic	.
Tattoo (Canonical Version) #137	Length	"203.493"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #137	Recorded by	Bob Russell (Songwriter)	.
Tattoo (Canonical Version) #137	Recording of Composition	Tattoo (Composition) #101	.
Tattoo (Canonical Version) #137	is-a	Canonical Version	.
Tattoo (Canonical Version) #137	is-a	Musical Recording	.
Tattoo (Canonical Version) #137	is-a	Topic	.
Tattoo (Canonical Version) #139	Length	"206.853"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #139	Recorded by	Jason Derülo	.
Tattoo (Canonical Version) #139	is-a	Canonical Version	.
Tattoo (Canonical Version) #139	is-a	Musical Recording	.
Tattoo (Canonical Version) #139	is-a	Topic	.
Tattoo (Canonical Version) #142	Length	"263.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #142	Recorded by	Sonia (Pop Artist)	.
Tattoo (Canonical Version) #142	Release	Almost Chocolate (Musical Release)	.
Tattoo (Canonical Version) #142	is-a	Canonical Version	.
Tattoo (Canonical Version) #142	is-a	Musical Recording	.
Tattoo (Canonical Version) #142	is-a	Topic	.
Tattoo (Canonical Version) #149	Length	"222.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #149	Recorded by	CNBLUE	.
Tattoo (Canonical Version) #149	is-a	Canonical Version	.
Tattoo (Canonical Version) #149	is-a	Musical Recording	.
Tattoo (Canonical Version) #149	is-a	Topic	.
Tattoo (Canonical Version) #15	Length	"321.213"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #15	Recorded by	Monk (Musical Group) #8	.
Tattoo (Canonical Version) #15	Release	Hush (Musical Release) #208	.
Tattoo (Canonical Version) #15	is-a	Musical Recording	.
Tattoo (Canonical Version) #15	is-a	Topic	.
Tattoo (Canonical Version) #152	Length	"232.533"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #152	Recorded by	Doug Hoyer	.
Tattoo (Canonical Version) #152	is-a	Canonical Version	.
Tattoo (Canonical Version) #152	is-a	Musical Recording	.
Tattoo (Canonical Version) #152	is-a	Topic	.
Tattoo (Canonical Version) #153	Length	"218.066"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #153	Recorded by	Feezel	.
Tattoo (Canonical Version) #153	Release	Life Moves On (Musical Release)	.
Tattoo (Canonical Version) #153	is-a	Canonical Version	.
Tattoo (Canonical Version) #153	is-a	Musical Recording	.
Tattoo (Canonical Version) #153	is-a	Topic	.
Tattoo (Canonical Version) #156	Length	"118.666"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #156	Recorded by	Subb	.
Tattoo (Canonical Version) #156	Release	The Motions (Musical Release) #9	.
Tattoo (Canonical Version) #156	is-a	Canonical Version	.
Tattoo (Canonical Version) #156	is-a	Musical Recording	.
Tattoo (Canonical Version) #156	is-a	Topic	.
Tattoo (Canonical Version) #161	Length	"76.666"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #161	Recorded by	Rickey Smiley	.
Tattoo (Canonical Version) #161	Release	Rickey Smiley, Volume III (Musical Release)	.
Tattoo (Canonical Version) #161	is-a	Canonical Version	.
Tattoo (Canonical Version) #161	is-a	Musical Recording	.
Tattoo (Canonical Version) #161	is-a	Topic	.
Tattoo (Canonical Version) #172	Length	"174.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
